ra_degrees,dec_degrees,magnitude
6.276607,53.04678501,5.72
6.35090309,1.93972374,5.77
6.41334183,-77.25503511,2.82
6.55048418,-43.67990933,3.93
6.57028075,-42.30512197,2.4
6.81119663,-25.54713325,5.99
6.98213606,-33.0070446,4.86
7.01185234,17.89307501,5.01
7.05660466,44.39448925,5.18
7.11007309,-39.91490183,5.42
7.50980355,-3.95729662,5.72
7.53056566,29.75169567,5.2
7.58297373,59.977564,5.94
7.59446346,-23.78771429,5.17
7.60822774,-48.21469821,5.67
7.85356695,-48.80356171,4.76
7.85668759,33.58168169,5.88
7.88566992,-62.95808549,4.36
7.88898014,-62.96544985,4.53
7.92171234,52.83955844,5.59
7.94299136,54.52232473,4.74
8.09897908,6.95545461,5.69
8.14750345,20.29443334,5.38
8.18247614,-63.03137868,5.07
8.24994391,62.93178781,4.17
8.29301467,54.89508062,5.93
8.42108802,-29.55820696,5.55
8.61506261,-52.37318294,5.57
8.8110039,-3.59275785,5.2
8.88645754,-0.50545908,5.94
8.92139531,-48.00066027,5.51
9.0345314,54.16845384,5.08
9.11392475,60.32621728,5.78
9.1936292,44.48850971,5.14
9.19713232,15.23175994,5.89
9.22016239,33.71935227,4.34
9.24277921,53.89693161,3.69
9.33244613,-24.76722545,5.57
9.33844167,35.39951013,5.45
9.63958024,29.312369,4.34
9.79119583,49.35459528,5.45
9.83165567,30.86122579,3.27
9.84206107,21.2513739,5.88
9.96631161,-44.79633326,6.0
9.98147468,21.4385644,5.36
10.10273354,-59.45568115,5.89
10.12661349,56.53740928,2.24
10.17658814,-4.35180551,5.9
10.27998074,39.45867141,5.3
10.33156671,-46.08500934,4.59
10.44292464,-56.50145475,5.72
10.5143156,66.14761311,5.83
10.51618425,50.51254151,4.8
10.61790472,-65.46813002,5.38
10.67349903,-60.26268184,5.99
10.83851683,-57.46309763,4.36
10.8670447,47.02463657,4.95
10.89678452,-17.9866841,2.04
11.04752272,-10.60927365,4.77
11.04964742,-38.42197898,5.9
11.10927611,47.863963,5.66
11.18125882,48.28438262,4.48
11.18515547,-22.00633247,5.22
11.23801546,-42.67632489,5.94
11.32168124,55.2214087,5.41
11.4129637,74.9881262,5.64
11.43930832,-47.55217573,5.8
11.54845521,-22.52206718,5.49
11.63740001,15.47561194,5.36
11.75594336,11.97393464,5.51
11.83495908,24.26737703,4.08
11.84843074,6.74098135,5.98
11.93000731,-18.06142264,5.7
11.94174879,74.84758739,5.42
12.00437854,-21.72247464,5.57
12.03698124,72.67445774,5.86
12.07226858,7.29991977,5.92
12.09388786,5.28338873,5.74
12.14632729,-74.92335356,5.09
12.17039736,7.58520186,4.44
12.20830552,50.96819154,4.9
12.2446238,16.9411337,5.07
12.27125262,57.8165477,3.46
12.3079102,-24.13652681,5.9
12.35647376,-13.56101709,5.59
12.45345723,41.07895474,4.53
12.47128657,27.71031105,5.55
12.53218487,-10.64377045,5.17
12.67136689,-50.98692422,5.24
12.68155194,64.24758084,5.35
13.16917061,-24.00592567,5.47
13.25204382,-1.1442206,4.78
13.26783051,61.12355735,4.8
13.40741156,-62.87135327,5.73
13.64674999,19.18843611,5.8
13.71984836,83.70746159,5.59
13.74174956,23.62844595,5.46
13.75080422,58.97279657,4.83
13.75124739,-69.52697888,5.45
13.92668443,-7.34703997,5.88
14.00627513,-11.26650685,5.35
14.16671042,59.18116582,4.62
14.17708808,60.71674966,2.15
14.18790699,38.49925513,3.86
14.19558745,60.36284769,5.56
14.30178237,23.41775997,4.4
14.4589515,28.9922356,5.44
14.55914315,33.95105921,5.99
14.62916229,66.35182541,5.97
14.65144118,-29.35746436,4.3
14.68286462,-11.37993895,5.62
15.01477994,44.71330426,5.69
15.32593934,-38.91664868,5.59
15.60990729,-31.55204219,5.5
15.70452742,31.80433674,5.5
15.7049656,-46.39733801,5.39
15.72614941,41.34519861,5.95
15.73606615,7.89007256,4.27
15.76085267,-4.83635047,5.4
15.9041982,61.07482982,5.92
16.00995036,52.50230919,5.99
16.08145357,61.58024409,5.83
16.27229777,14.94600386,5.64
16.42053152,21.4732162,5.33
16.42365838,21.46547318,5.55
16.52127713,-46.71849042,3.32
16.52137513,-9.83936845,5.58
16.82738598,-61.77526197,5.36
